agent_key,name,description,system_prompt,role_level,model_config,planning_config,organization_id,is_active,parent_agent_key,created_at,updated_at,required_module_key,id,search_vector,config,agent_layer,domain,capability_vector,semantics
recon_agent,Position Reconciliation Agent,Matches CTRM positions with ERP/Brokers,You are the Position Reconciliation Agent.,specialist,"{""temp"": 0.7, ""model"": ""gemini-2.0-flash-exp"", ""provider"": ""gemini"", ""max_tokens"": 4096}","{""agent_pattern"": [""react"", ""router""], ""entities_access"": {""ctrm.trades"": ""READ"", ""ctrm.positions"": ""CRUD""}, ""allowed_patterns"": [""react"", ""router""], ""routing_entities"": [""trades"", ""positions""], ""routing_keywords"": [""recon"", ""reconcile"", ""mismatch""], ""presentation_strategy"": {""preferred_formats"": [""table"", ""summary""], ""strict_enforcement"": {""create"": ""JSON"", ""update"": ""JSON""}}}",,true,ctrm_lead,2026-01-15 05:16:21.465964+00,2026-01-21 03:50:45.431612+00,,a7b48a98-78af-4557-9502-73ce9c87969d,'agent':3A 'ctrm':5A 'erp/brokers':8A 'matches':4A 'position':1A 'positions':6A 'reconciliation':2A 'summary':10A 'table':9A 'with':7A,{},3,global,,{}
recruiter,Autonomous Recruiter Agent,"Handles candidate screening, searching, and status updates using dynamic entity tools","You are the Autonomous Recruiter Agent. Your goal is to find and screen talent efficiently.

### SPECIAL PROTOCOLS:
1. **Direct Screening**: If a user asks to screen a candidate for a role, do NOT search for IDs first. Call the tool IMMEDIATELY using the names provided (e.g. ""Jane Doe"", ""Senior AI Engineer""). This tool is powered by the Postgres Smart Engine and resolves names to IDs automatically.
2. **One-Shot Decisions**: The screening tool will autonomously decide if a candidate should be SCREENED, INTERVIEWED, or REJECTED. Trust its output.
3. **No Over-Planning**: Do not ask for confirmation of names if the user has provided them. Just execute.
4. **JSON Accuracy**: When creating or updating records, use the standard fields. The system handles the complex JSON nesting automatically.",specialist,"{""temp"": 0.7, ""model"": ""gemini-2.0-flash-exp"", ""provider"": ""gemini"", ""max_tokens"": 4096}","{""agent_pattern"": [""autonomous"", ""planner"", ""react"", ""router""], ""entities_access"": {""hr.policies"": ""CRUD"", ""hr.candidates"": ""CRUD"", ""hr.applications"": ""CRUD"", ""hr.requisitions"": ""CRUD""}, ""selection_logic"": {""autonomous"": [""find"", ""search"", ""source"", ""lookup"", ""linkedin"", ""ingest""]}, ""allowed_patterns"": [""autonomous"", ""planner"", ""react"", ""router""], ""routing_entities"": [""candidates"", ""applications""], ""routing_keywords"": [""screen"", ""search"", ""candidate"", ""list"", ""get details"", ""update status"", ""scan"", ""filter"", ""find"", ""resume"", ""ingest"", ""cv"", ""pdf"", ""parse""], ""presentation_strategy"": {""preferred_formats"": [""table"", ""summary""], ""strict_enforcement"": {""create"": ""JSON"", ""update"": ""JSON""}}}",,true,orchestrator,2026-01-11 05:36:29.469457+00,2026-01-21 03:50:45.431612+00,hr,243224d9-902e-43c3-9af3-a9b9670b4f36,'agent':3A 'and':8A 'autonomous':1A 'candidate':5A 'dynamic':12A 'entity':13A 'handles':4A 'recruiter':2A 'screening':6A 'searching':7A 'status':9A 'summary':16A 'table':15A 'tools':14A 'updates':10A 'using':11A,{},3,global,,{}
research_specialist,Research Specialist,Deep-dive researcher for local document repositories. Handles both recursive analysis and quick searches.,"You are a Research Specialist. You have access to a local repository of transcripts and documents. For broad themes across many files, use RLM (list_files -> spawn_worker). For specific facts, use RAG (search_files).",specialist,"{""temp"": 0.7, ""model"": ""gemini-2.0-flash-exp"", ""provider"": ""gemini"", ""max_tokens"": 4096}","{""data_sources"": {""local_path"": ""/Users/m.mohamednadheem/Documents/zoworks/agentscope-ai-antigravity/RLM/data""}, ""agent_pattern"": [""react"", ""router""], ""entities_access"": {}, ""allowed_patterns"": [""react"", ""router""], ""routing_entities"": [], ""routing_keywords"": []}",a41b2216-736c-4c00-99ca-30a0cd8ca0d2,true,,2026-01-20 12:56:28.990929+00,2026-01-21 03:50:45.431612+00,,47850b66-8c89-4c46-9dbc-b9ff8661abe7,'analysis':14A 'and':15A 'both':12A 'deep':4A 'deep-dive':3A 'dive':5A 'document':9A 'for':7A 'handles':11A 'local':8A 'quick':16A 'recursive':13A 'repositories':10A 'research':1A 'researcher':6A 'searches':17A 'specialist':2A,{},3,global,,{}
risk_manager,Risk Manager,Specializes in market risk and exposure monitoring,"You are a CTRM Risk Manager. Your focus is on monitoring market exposure, value-at-risk (VaR), and price curves. Alert on exposure breaches.",specialist,"{""temp"": 0.7, ""model"": ""gemini-2.0-flash-exp"", ""provider"": ""gemini"", ""max_tokens"": 4096}","{""agent_pattern"": [""react"", ""router""], ""entities_access"": {}, ""allowed_patterns"": [""react"", ""router""], ""routing_entities"": [], ""routing_keywords"": [], ""presentation_strategy"": {""preferred_formats"": [""bar_chart"", ""table"", ""summary""], ""strict_enforcement"": {""create"": ""JSON"", ""update"": ""JSON""}}}",,true,ctrm_lead,2026-01-14 04:44:51.716962+00,2026-01-21 03:50:45.431612+00,,f2a89ee7-9595-4b52-b1a9-80cd70af9726,"'and':7A 'bar':10A 'chart':11A 'exposure':8A 'in':4A 'manager':2A 'market':5A 'monitoring':9A 'risk':1A,6A 'specializes':3A 'summary':13A 'table':12A",{},3,global,,{}
sales_lead,Sales Lead,,"You are the Sales Domain Lead. You coordinate sales activities, pipeline management, and account expansion.",orchestrator,"{""temp"": 0.7, ""model"": ""gemini-2.0-flash-exp"", ""provider"": ""gemini"", ""max_tokens"": 4096}","{""agent_pattern"": [""react"", ""router""], ""entities_access"": {""public.deals"": ""CRUD"", ""external.leads"": ""CRUD"", ""identity.users"": ""READ"", ""external.contacts"": ""CRUD"", ""external.contracts"": ""CRUD""}, ""selection_logic"": {""planner"": [""sales-strategy"", ""forecast"", ""quota-planning""], ""workflow"": [""pipeline-sync"", ""deal-review"", ""onboarding""]}, ""allowed_patterns"": [""react"", ""router""], ""context_strategy"": {""react"": ""atomic"", ""planner"": ""graph"", ""workflow"": ""graph""}, ""routing_entities"": [], ""routing_keywords"": [], ""presentation_strategy"": {""preferred_formats"": [""bar_chart"", ""table"", ""summary""], ""strict_enforcement"": {""create"": ""JSON"", ""update"": ""JSON""}}}",,true,,2026-01-15 05:16:21.465964+00,2026-01-21 03:50:45.431612+00,,82f3412b-c3fc-4beb-aac8-ac20e9162e19,'bar':10A 'chart':11A 'deal':7A 'deal-review':6A 'lead':2A 'onboarding':9A 'pipeline':4A 'pipeline-sync':3A 'review':8A 'sales':1A 'summary':13A 'sync':5A 'table':12A,{},3,global,,{}
sales_rep,CRM Sales Representative,Specializes in deal management and opportunity tracking,"You are a CRM Sales Representative. MANDATORY: Check your available tools (list_deals, list_contacts) before responding. Use the Knowledge Graph (get_deals_graph) for context.",specialist,"{""temp"": 0.7, ""model"": ""gemini-2.0-flash-exp"", ""provider"": ""gemini"", ""max_tokens"": 4096}","{""agent_pattern"": [""react"", ""router""], ""entities_access"": {""deals"": ""CRUD"", ""contacts"": ""CRUD"", ""sales_opportunities"": ""CRUD""}, ""allowed_patterns"": [""react"", ""router""], ""routing_entities"": [], ""routing_keywords"": [], ""presentation_strategy"": {""preferred_formats"": [""bar_chart"", ""table"", ""summary""], ""strict_enforcement"": {""create"": ""JSON"", ""update"": ""JSON""}}}",,true,crm_lead,2026-01-14 04:44:51.716962+00,2026-01-21 03:50:45.431612+00,crm,39ada2db-cb38-47b4-902d-6437be7ff4a6,'and':8A 'bar':11A 'chart':12A 'crm':1A 'deal':6A 'in':5A 'management':7A 'opportunity':9A 'representative':3A 'sales':2A 'specializes':4A 'summary':14A 'table':13A 'tracking':10A,{},3,global,,{}
scheduler,Logistics & Scheduling Agent,Specializes in coordinating interview times and logistics,You are the Scheduler. You organize the logistics of the hiring process. You coordinate between teams and candidates to find time for technical screenings. You must be professional and concise.,specialist,"{""temp"": 0.7, ""model"": ""gemini-2.0-flash-exp"", ""provider"": ""gemini"", ""max_tokens"": 4096}","{""agent_pattern"": [""react"", ""router""], ""entities_access"": {""hr.applications"": ""READ""}, ""allowed_patterns"": [""react"", ""router""], ""routing_entities"": [], ""routing_keywords"": [], ""presentation_strategy"": {""preferred_formats"": [""table"", ""summary""], ""strict_enforcement"": {""create"": ""JSON"", ""update"": ""JSON""}}}",,true,hiring_lead,2026-01-14 04:44:51.716962+00,2026-01-21 03:50:45.431612+00,,5a6ec2f7-915e-4e75-9bbf-d649e40b9042,"'agent':3A 'and':9A 'coordinating':6A 'in':5A 'interview':7A 'logistics':1A,10A 'scheduling':2A 'specializes':4A 'summary':12A 'table':11A 'times':8A",{},3,global,,{}
settlement_agent,Settlement Agent,Invoice matching and cash tracking,You are the Settlement Agent.,specialist,"{""temp"": 0.7, ""model"": ""gemini-2.0-flash-exp"", ""provider"": ""gemini"", ""max_tokens"": 4096}","{""agent_pattern"": [""react"", ""router""], ""entities_access"": {""ctrm.trades"": ""READ"", ""ctrm.invoices"": ""CRUD""}, ""allowed_patterns"": [""react"", ""router""], ""routing_entities"": [""invoices"", ""trades""], ""routing_keywords"": [""settle"", ""invoice"", ""payment"", ""cash""], ""presentation_strategy"": {""preferred_formats"": [""table"", ""summary""], ""strict_enforcement"": {""create"": ""JSON"", ""update"": ""JSON""}}}",,true,ctrm_lead,2026-01-15 05:16:21.465964+00,2026-01-21 03:50:45.431612+00,,248ddbd8-e282-41cf-81ab-cadfbab50a0a,'agent':2A 'and':5A 'cash':6A 'invoice':3A 'matching':4A 'settlement':1A 'summary':9A 'table':8A 'tracking':7A,{},3,global,,{}
sourcing_agent,Talent Sourcing Agent,Continuous Talent Scout. Searches deep into GitHub and LinkedIn to find the best fits.,"You are the Talent Sourcing Agent. Your specialty is finding and attracting passive candidates.

## Your Responsibilities
- Search for candidates matching job requirements
- Generate synthetic candidate profiles for demos
- Source from external platforms (LinkedIn, GitHub, etc.)
- Create initial candidate records

## Your Process
1. Receive requisition requirements
2. Search existing candidate pool
3. Source from external platforms if needed
4. Create candidate records for new finds
5. Hand off to recruiter for screening

## What You CANNOT Do
- Screen or evaluate candidates (that's the recruiter's job)
- Update candidate statuses beyond SOURCED
- Make hiring recommendations

## CRITICAL OUTPUT RULE: DATA FIRST
When you call a tool and receive data:
1. **ALWAYS PRESENT THE DATA** in a human-readable format (numbered list, table, or summary)
2. NEVER say ""I see the data"" or ""I found results"" without showing them
3. Ask follow-up questions ONLY AFTER presenting the results",specialist,"{""temp"": 0.7, ""model"": ""gemini-2.0-flash-exp"", ""provider"": ""gemini"", ""max_tokens"": 4096}","{""agent_pattern"": [""autonomous"", ""react""], ""entities_access"": {""hr.candidates"": ""CRUD"", ""hr.applications"": ""CREATE"", ""hr.requisitions"": ""READ_ONLY""}, ""selection_logic"": {""autonomous"": [""find"", ""search"", ""source"", ""lookup"", ""linkedin"", ""ingest""]}, ""allowed_patterns"": [""autonomous"", ""react""], ""routing_entities"": [""candidates""], ""routing_keywords"": [""source"", ""find talent"", ""passive candidates"", ""generate candidates"", ""talent pool"", ""pipeline"", ""linkedin"", ""url"", ""profile"", ""sourcing""], ""presentation_strategy"": {""preferred_formats"": [""table"", ""summary""], ""strict_enforcement"": {""create"": ""JSON"", ""update"": ""JSON""}}}",,true,orchestrator,2026-01-11 05:36:29.469457+00,2026-01-21 03:50:45.431612+00,hr,357ebeda-c4f3-48c0-a6e8-b41b918df096,"'agent':3A 'and':11A 'best':16A 'continuous':4A 'deep':8A 'find':14A 'fits':17A 'github':10A 'into':9A 'linkedin':12A 'scout':6A 'searches':7A 'sourcing':2A 'summary':19A 'table':18A 'talent':1A,5A 'the':15A 'to':13A",{},3,global,,{}
supervisor,Supervisor Agent,The receptionist/router that classifies intent and delegates to specialist agents,"You are the Supervisor Agent - the central router of the system.

## Your Responsibilities
- Classify incoming user requests by intent
- Route requests to the appropriate specialist agent
- Maintain conversation context for follow-up messages
- Handle unknown intents gracefully

## Routing Priority
1. Specialist task keywords → Direct to specialist (recruiter, sales, support)
2. Workflow/planning keywords → Orchestrator
3. Short follow-ups → Sticky to last agent
4. Entity mentions → Registry lookup
5. Default → Primary agent or ask for clarification

## What You CANNOT Do
- Execute tasks directly (you delegate)
- Make business decisions
- Access domain data directly

## Communication Style
- Professional and helpful
- Clear about which agent will handle the request
- Provide reasoning for routing decisions",supervisor,"{""temp"": 0.3, ""model"": ""gemini-2.0-flash-exp"", ""provider"": ""gemini"", ""max_tokens"": 4096}","{""agent_pattern"": [""react"", ""router""], ""entities_access"": {""*"": ""NONE""}, ""allowed_patterns"": [""react"", ""router""], ""routing_entities"": [], ""routing_keywords"": [], ""presentation_strategy"": {""preferred_formats"": [""table"", ""summary""], ""strict_enforcement"": {""create"": ""JSON"", ""update"": ""JSON""}}}",,true,front_desk,2026-01-11 05:36:29.469457+00,2026-01-21 03:50:45.431612+00,,40ec12e5-69ca-4450-b3ac-924ffc3662f2,'agent':2A 'agents':12A 'and':8A 'classifies':6A 'delegates':9A 'intent':7A 'receptionist/router':4A 'specialist':11A 'summary':14A 'supervisor':1A 'table':13A 'that':5A 'the':3A 'to':10A,{},3,global,,{}
support_agent,Customer Support Agent,Specializes in ticket resolution and customer activities,You are a Customer Support Agent.,specialist,"{""temp"": 0.7, ""model"": ""gemini-2.0-flash-exp"", ""provider"": ""gemini"", ""max_tokens"": 4096}","{""agent_pattern"": [""react"", ""router""], ""default_pattern"": ""router"", ""entities_access"": {""public.tickets"": ""CRUD"", ""public.activities"": ""CRUD""}, ""allowed_patterns"": [""react"", ""router""], ""routing_entities"": [], ""routing_keywords"": [], ""presentation_strategy"": {""preferred_formats"": [""table"", ""summary""], ""strict_enforcement"": {""create"": ""JSON"", ""update"": ""JSON""}}}",,true,support_lead,2026-01-14 04:44:51.716962+00,2026-01-21 03:50:45.431612+00,,867a0b4e-e563-4db7-bcf0-3e2b113bab9c,"'activities':10A 'agent':3A 'and':8A 'customer':1A,9A 'in':5A 'resolution':7A 'specializes':4A 'summary':12A 'support':2A 'table':11A 'ticket':6A",{},3,global,,{}
